algo,weather_aware,condition,date,satisfaction_ratio,peak_demand_kw,jain_fairness,avg_temp,avg_wind
PPO,False,Mild,2018-09-20,0.5550369560485858,69.08,0.5998511952212486,21.505902777777777,1.4766666666666666
PPO,False,Mild,2018-09-21,0.5842092111185205,63.67199999999999,0.60302479181357,22.098472222222224,1.4979166666666668
PPO,False,Mild,2018-09-22,0.6029793224884089,48.656,0.5720196011539829,23.019791666666663,1.2458333333333333
PPO,False,Mild,2018-09-23,0.6489040452519808,62.83999999999999,0.5463644243061719,22.109166666666667,1.5815277777777776
PPO,False,Mild,2018-09-24,0.6041756031635687,100.596,0.6297158648384147,20.45923611111111,1.7314583333333335
PPO,False,Mild,2018-09-25,0.5790296902702055,60.26000000000002,0.5941914677261892,18.90375,1.2952777777777778
PPO,False,Mild,2018-09-26,0.5463625997550421,64.632,0.5926256074346257,20.931498015873014,1.4796130952380953
PPO,False,Mild,2018-09-27,0.6947809768403915,90.144,0.7117945611128412,22.417777777777776,1.54625
PPO,False,Mild,2018-09-28,0.6039392326143579,71.46399999999998,0.5938876777141269,21.626388888888886,1.8075694444444446
PPO,False,Mild,2018-09-29,0.5745476130232343,38.048,0.6368046526640458,21.103819444444444,2.318611111111111
PPO,False,Mild,2018-09-30,0.46590235899331656,29.367999999999995,0.5359956549881533,21.336597222222224,1.4600694444444446
PPO,False,Mild,2018-10-01,0.6393851916506716,92.376,0.5967412591941625,24.51076388888889,1.4746527777777778
PPO,False,Mild,2018-10-02,0.6819826108008321,72.596,0.6401028692283995,24.430902777777778,1.675972222222222
PPO,False,Mild,2018-10-03,0.5751382817956714,70.952,0.6704711835851276,21.26354166666667,1.7791666666666668
PPO,False,Mild,2018-10-04,0.6160061145079022,69.528,0.6378274623604714,20.638204365079364,1.5596230158730158
PPO,False,Mild,2018-10-05,0.6382164538403218,67.752,0.647397390727919,20.11592261904762,1.6164186507936507
PPO,False,Mild,2018-10-06,0.547419861137126,49.072,0.6731261491962977,20.02046461640212,1.5316617063492064
PPO,False,Mild,2018-10-07,0.45266554456206537,28.384,0.561515970302132,19.826130952380954,1.6881498015873015
PPO,False,Mild,2018-10-08,0.6486212866323494,76.512,0.6306086602584758,19.439563492063492,1.4184027777777777
PPO,False,Mild,2018-10-09,0.5930452995099361,84.128,0.6880714836019202,19.50798611111111,1.5562500000000001
PPO,True,Mild,2018-09-20,0.6398905552804872,74.752,0.6953632735760007,21.505902777777777,1.4766666666666666
PPO,True,Mild,2018-09-21,0.681906199856658,88.784,0.6200448236522018,22.098472222222224,1.4979166666666668
PPO,True,Mild,2018-09-22,0.6213369307659579,51.416,0.6265967630715777,23.019791666666663,1.2458333333333333
PPO,True,Mild,2018-09-23,0.5748809676221709,36.11999999999999,0.5767293173157776,22.109166666666667,1.5815277777777776
PPO,True,Mild,2018-09-24,0.639237745784458,84.056,0.7156221890410627,20.45923611111111,1.7314583333333335
PPO,True,Mild,2018-09-25,0.6858824297159714,82.656,0.7444596568582191,18.90375,1.2952777777777778
PPO,True,Mild,2018-09-26,0.6608463569453895,86.496,0.7091090224020512,20.931498015873014,1.4796130952380953
PPO,True,Mild,2018-09-27,0.733254557045785,79.696,0.7272868836939667,22.417777777777776,1.54625
PPO,True,Mild,2018-09-28,0.6625660487504694,66.97200000000001,0.6539126376885437,21.626388888888886,1.8075694444444446
PPO,True,Mild,2018-09-29,0.5004395537322739,41.168,0.5379622336001216,21.103819444444444,2.318611111111111
PPO,True,Mild,2018-09-30,0.5720019907831357,32.128,0.6017576640165446,21.336597222222224,1.4600694444444446
PPO,True,Mild,2018-10-01,0.6680641805437725,83.168,0.5975736973437367,24.51076388888889,1.4746527777777778
PPO,True,Mild,2018-10-02,0.7081509263838659,103.048,0.7707920365395882,24.430902777777778,1.675972222222222
PPO,True,Mild,2018-10-03,0.5694029787882303,91.544,0.6199992917167859,21.26354166666667,1.7791666666666668
PPO,True,Mild,2018-10-04,0.6790623625752576,77.608,0.6785358282055847,20.638204365079364,1.5596230158730158
PPO,True,Mild,2018-10-05,0.7457009990551622,106.29599999999999,0.7722468235647282,20.11592261904762,1.6164186507936507
PPO,True,Mild,2018-10-06,0.47249257776171427,44.79999999999999,0.6233852044243968,20.02046461640212,1.5316617063492064
PPO,True,Mild,2018-10-07,0.5134542257459224,31.655999999999995,0.6378424245373641,19.826130952380954,1.6881498015873015
PPO,True,Mild,2018-10-08,0.7332647430655969,89.3028602150539,0.8075079110771541,19.439563492063492,1.4184027777777777
PPO,True,Mild,2018-10-09,0.7077362472806425,85.78800000000001,0.7515920582467309,19.50798611111111,1.5562500000000001
SAC,False,Mild,2018-09-20,0.8468698835675518,127.61200000000001,0.8557794959040669,21.505902777777777,1.4766666666666666
SAC,False,Mild,2018-09-21,0.8326406917690186,147.11999999999995,0.8817596896537919,22.098472222222224,1.4979166666666668
SAC,False,Mild,2018-09-22,0.599385100321291,45.024,0.68394469482743,23.019791666666663,1.2458333333333333
SAC,False,Mild,2018-09-23,0.7081744058078386,47.8186057347672,0.7661461943018891,22.109166666666667,1.5815277777777776
SAC,False,Mild,2018-09-24,0.8235268207416985,164.7520000000001,0.9448386121597426,20.45923611111111,1.7314583333333335
SAC,False,Mild,2018-09-25,0.8502344965649326,132.9600000000001,0.9284137297230677,18.90375,1.2952777777777778
SAC,False,Mild,2018-09-26,0.8247878445538441,125.60667383512157,0.880277789235609,20.931498015873014,1.4796130952380953
SAC,False,Mild,2018-09-27,0.8548605584441128,156.53600000000003,0.8761267627334995,22.417777777777776,1.54625
SAC,False,Mild,2018-09-28,0.8706220930168781,128.01148028673114,0.9134244308465653,21.626388888888886,1.8075694444444446
SAC,False,Mild,2018-09-29,0.74682689349152,54.18799999999996,0.7438390533522855,21.103819444444444,2.318611111111111
SAC,False,Mild,2018-09-30,0.7601781671850227,46.84,0.8496979955693976,21.336597222222224,1.4600694444444446
SAC,False,Mild,2018-10-01,0.8328168348686009,162.83200000000002,0.8504007543462999,24.51076388888889,1.4746527777777778
SAC,False,Mild,2018-10-02,0.7747432519632407,150.04957347662454,0.8805902232625441,24.430902777777778,1.675972222222222
SAC,False,Mild,2018-10-03,0.8778941029746813,117.77835842292298,0.9109001255885465,21.26354166666667,1.7791666666666668
SAC,False,Mild,2018-10-04,0.8721496423119373,133.092,0.9057166392682784,20.638204365079364,1.5596230158730158
SAC,False,Mild,2018-10-05,0.8783056778307748,98.976,0.9548086135497406,20.11592261904762,1.6164186507936507
SAC,False,Mild,2018-10-06,0.6931429108345543,58.488,0.9152209502144696,20.02046461640212,1.5316617063492064
SAC,False,Mild,2018-10-07,0.6257224721539337,41.28,0.7635959556174682,19.826130952380954,1.6881498015873015
SAC,False,Mild,2018-10-08,0.833887417916057,106.21599999999992,0.9509400358439062,19.439563492063492,1.4184027777777777
SAC,False,Mild,2018-10-09,0.850082642934017,130.916,0.8972599848079297,19.50798611111111,1.5562500000000001
SAC,True,Mild,2018-09-20,0.8030436289689942,109.12,0.8934952917499184,21.505902777777777,1.4766666666666666
SAC,True,Mild,2018-09-21,0.7873370646736111,158.216,0.835594431869076,22.098472222222224,1.4979166666666668
SAC,True,Mild,2018-09-22,0.6832319578469968,55.272,0.7968668711802287,23.019791666666663,1.2458333333333333
SAC,True,Mild,2018-09-23,0.603818436346255,42.23200000000006,0.7121213235407454,22.109166666666667,1.5815277777777776
SAC,True,Mild,2018-09-24,0.8367560572601327,133.212,0.9132002597300684,20.45923611111111,1.7314583333333335
SAC,True,Mild,2018-09-25,0.703928220089979,90.784,0.7851477245860489,18.90375,1.2952777777777778
SAC,True,Mild,2018-09-26,0.8025469179730281,141.93600000000004,0.8988020035081358,20.931498015873014,1.4796130952380953
SAC,True,Mild,2018-09-27,0.8345337873203298,145.32,0.8436806075321144,22.417777777777776,1.54625
SAC,True,Mild,2018-09-28,0.7953515271141655,102.28,0.8775087282899852,21.626388888888886,1.8075694444444446
SAC,True,Mild,2018-09-29,0.6422148452952517,46.87600000000001,0.7774668507854215,21.103819444444444,2.318611111111111
SAC,True,Mild,2018-09-30,0.602526308745123,31.844000000000005,0.6822724094190984,21.336597222222224,1.4600694444444446
SAC,True,Mild,2018-10-01,0.8227021802270821,143.904,0.9071470410099624,24.51076388888889,1.4746527777777778
SAC,True,Mild,2018-10-02,0.7654928630340828,117.996,0.8318842218739836,24.430902777777778,1.675972222222222
SAC,True,Mild,2018-10-03,0.8028759470326011,138.856,0.87887625822396,21.26354166666667,1.7791666666666668
SAC,True,Mild,2018-10-04,0.8680720855489382,130.14388530465928,0.8787371898980356,20.638204365079364,1.5596230158730158
SAC,True,Mild,2018-10-05,0.8048361094518459,103.856,0.8843967270139593,20.11592261904762,1.6164186507936507
SAC,True,Mild,2018-10-06,0.5506642624916097,58.584000000000046,0.7564912262047597,20.02046461640212,1.5316617063492064
SAC,True,Mild,2018-10-07,0.5875807181475753,34.13199999999998,0.7979427465471937,19.826130952380954,1.6881498015873015
SAC,True,Mild,2018-10-08,0.8214639699458697,128.20800000000003,0.8743716649440109,19.439563492063492,1.4184027777777777
SAC,True,Mild,2018-10-09,0.8589786468574417,136.376,0.9105567244780541,19.50798611111111,1.5562500000000001
